âÔàıID	ÉrÅ[Éãçwì¸é“	óàìXïpìx	ÉIÉÄÉcçwì¸é“
327	FALSE	10.5	FALSE
328	TRUE	3.5	FALSE
329	FALSE	0.5	FALSE
330	FALSE	2	FALSE
331	FALSE	5.5	FALSE
332	FALSE	4.5	FALSE
333	FALSE	1	FALSE
334	FALSE	2.5	FALSE
335	FALSE	2.5	FALSE
336	TRUE	2.5	FALSE
337	FALSE	3	FALSE
338	FALSE	1.5	FALSE
339	FALSE	1.5	FALSE
340	FALSE	7	FALSE
341	FALSE	1.5	FALSE
342	TRUE	2.5	FALSE
343	FALSE	6.5	FALSE
344	FALSE	3	FALSE
345	TRUE	2.5	FALSE
346	TRUE	3.5	FALSE
347	FALSE	2	FALSE
348	TRUE	5	FALSE
349	FALSE	1	FALSE
350	FALSE	1.5	TRUE
351	TRUE	6	FALSE
352	TRUE	1	FALSE
353	FALSE	2	FALSE
354	FALSE	1	FALSE
355	FALSE	6	FALSE
356	FALSE	4	FALSE
357	FALSE	1	FALSE
358	FALSE	1.5	FALSE
359	TRUE	11.5	FALSE
360	FALSE	20	FALSE
361	FALSE	5	FALSE
362	FALSE	2.5	FALSE
363	TRUE	0.5	FALSE
364	TRUE	5.5	FALSE
365	TRUE	3.5	FALSE
366	FALSE	1	FALSE
367	TRUE	3.5	FALSE
368	FALSE	2	FALSE
369	FALSE	4	FALSE
370	FALSE	2.5	FALSE
371	TRUE	2	FALSE
372	FALSE	5	FALSE
373	FALSE	5.5	FALSE
374	FALSE	14.5	FALSE
375	FALSE	1.5	FALSE
376	TRUE	5	FALSE
377	FALSE	1	FALSE
378	FALSE	2	FALSE
379	FALSE	1	FALSE
380	FALSE	7	FALSE
381	FALSE	1	FALSE
382	TRUE	10.5	FALSE
383	FALSE	3	FALSE
384	FALSE	2	FALSE
385	TRUE	9.5	FALSE
386	TRUE	2.5	FALSE
387	FALSE	3.5	FALSE
388	FALSE	4.5	FALSE
389	FALSE	4	FALSE
390	FALSE	5.5	FALSE
391	FALSE	4	FALSE
392	FALSE	3	FALSE
393	FALSE	3.5	FALSE
394	FALSE	1	FALSE
395	FALSE	2	FALSE
396	TRUE	1.5	FALSE
397	TRUE	6	FALSE
398	FALSE	0.5	FALSE
399	FALSE	3.5	FALSE
400	FALSE	9.5	FALSE
401	TRUE	2.5	FALSE
402	FALSE	0.5	FALSE
403	FALSE	2	FALSE
404	FALSE	5.5	FALSE
405	FALSE	14.5	FALSE
406	FALSE	5.5	FALSE
407	FALSE	0.5	FALSE
408	FALSE	2	FALSE
409	FALSE	3.5	FALSE
410	FALSE	3.5	FALSE
411	TRUE	5.5	FALSE
412	FALSE	5	FALSE
413	TRUE	1.5	FALSE
414	FALSE	1	FALSE
415	TRUE	12.5	FALSE
416	FALSE	5.5	FALSE
417	FALSE	0.5	FALSE
418	TRUE	19	FALSE
419	FALSE	3	FALSE
420	FALSE	1	FALSE
421	FALSE	1	FALSE
422	FALSE	2	FALSE
423	TRUE	3	FALSE
424	FALSE	3	FALSE
425	TRUE	1	FALSE
426	TRUE	2	FALSE
427	FALSE	2.5	FALSE
428	FALSE	1	FALSE
429	FALSE	1.5	FALSE
430	FALSE	2	FALSE
431	FALSE	1.5	FALSE
432	TRUE	9	FALSE
433	FALSE	1.5	FALSE
434	FALSE	1	FALSE
435	FALSE	3	FALSE
436	FALSE	4	FALSE
437	FALSE	3	FALSE
438	FALSE	3	FALSE
439	FALSE	2	FALSE
440	FALSE	1	FALSE
441	FALSE	2.5	FALSE
442	FALSE	2.5	FALSE
443	TRUE	0.5	FALSE
444	FALSE	4	FALSE
445	FALSE	1	FALSE
446	FALSE	2	FALSE
447	TRUE	7	FALSE
448	FALSE	5	FALSE
449	FALSE	1	FALSE
450	FALSE	1	FALSE
451	TRUE	3.5	FALSE
452	FALSE	0.5	FALSE
453	FALSE	2.5	FALSE
454	FALSE	15	FALSE
455	TRUE	7.5	FALSE
456	FALSE	4	FALSE
457	FALSE	2	FALSE
458	FALSE	5	FALSE
459	FALSE	5	FALSE
460	TRUE	9	FALSE
461	FALSE	5	FALSE
462	FALSE	5.5	FALSE
463	FALSE	3.5	FALSE
464	FALSE	3.5	FALSE
465	TRUE	13.5	FALSE
466	TRUE	2	FALSE
467	TRUE	1.5	FALSE
468	FALSE	1	FALSE
469	FALSE	2.5	FALSE
470	FALSE	2	FALSE
471	FALSE	2.5	FALSE
472	FALSE	6.5	TRUE
473	FALSE	2	FALSE
474	FALSE	2	FALSE
475	FALSE	7	FALSE
476	FALSE	2	FALSE
477	FALSE	4.5	FALSE
478	FALSE	4	FALSE
479	FALSE	5	FALSE
480	FALSE	17.5	TRUE
481	FALSE	16	FALSE
482	FALSE	6	FALSE
483	FALSE	3.5	FALSE
484	FALSE	1	FALSE
485	FALSE	2.5	FALSE
486	FALSE	5	FALSE
487	FALSE	2.5	FALSE
488	FALSE	5	TRUE
489	FALSE	3.5	FALSE
490	FALSE	1	FALSE
491	FALSE	7	FALSE
492	TRUE	2	FALSE
493	TRUE	2.5	FALSE
494	FALSE	3	FALSE
495	TRUE	13.5	FALSE
496	FALSE	1.5	FALSE
497	FALSE	5.5	FALSE
498	FALSE	1.5	FALSE
499	FALSE	1	FALSE
500	FALSE	2	FALSE
501	FALSE	1.5	FALSE
502	FALSE	0.5	FALSE
503	FALSE	4.5	FALSE
504	FALSE	2	FALSE
505	FALSE	2	FALSE
506	TRUE	1	FALSE
507	FALSE	2.5	FALSE
508	FALSE	8.5	FALSE
509	TRUE	8	FALSE
510	TRUE	6	FALSE
511	TRUE	1.5	FALSE
512	FALSE	2	FALSE
513	FALSE	2	FALSE
514	FALSE	4	FALSE
515	FALSE	2	FALSE
516	TRUE	6.5	FALSE
517	FALSE	13.5	FALSE
518	TRUE	2	FALSE
519	FALSE	8.5	TRUE
520	FALSE	1.5	FALSE
521	FALSE	0.5	FALSE
522	FALSE	2	FALSE
523	FALSE	3.5	FALSE
524	FALSE	1.5	FALSE
525	FALSE	5	TRUE
526	FALSE	10.5	FALSE
527	FALSE	0.5	FALSE
528	TRUE	6.5	FALSE
529	TRUE	1	FALSE
530	TRUE	6.5	FALSE
531	FALSE	3	FALSE
532	FALSE	2.5	FALSE
533	FALSE	3.5	FALSE
534	FALSE	1.5	FALSE
535	FALSE	3.5	FALSE
536	FALSE	1	FALSE
537	FALSE	4	FALSE
538	FALSE	8.5	FALSE
539	FALSE	4	FALSE
540	TRUE	2	FALSE
541	FALSE	1	FALSE
542	FALSE	3	FALSE
543	FALSE	1	FALSE
544	FALSE	0.5	FALSE
545	TRUE	1.5	FALSE
546	FALSE	0.5	FALSE
547	FALSE	1.5	FALSE
548	FALSE	4	FALSE
549	FALSE	4.5	FALSE
550	TRUE	5.5	FALSE
551	TRUE	22	FALSE
552	TRUE	3	FALSE
553	TRUE	6.5	FALSE
554	FALSE	0.5	FALSE
555	FALSE	8	TRUE
556	FALSE	0.5	FALSE
557	FALSE	0.5	FALSE
558	FALSE	2	FALSE
559	FALSE	2.5	FALSE
560	FALSE	1	FALSE
561	FALSE	4	FALSE
562	FALSE	2.5	FALSE
563	FALSE	0.5	FALSE
564	FALSE	2.5	FALSE
565	FALSE	4.5	FALSE
566	TRUE	3	FALSE
567	TRUE	3.5	FALSE
568	TRUE	9.5	FALSE
569	FALSE	3.5	FALSE
570	FALSE	0.5	FALSE
571	FALSE	5	TRUE
572	TRUE	3	FALSE
573	FALSE	21.5	FALSE
574	FALSE	1	FALSE
575	FALSE	1.5	FALSE
576	FALSE	8.5	FALSE
577	FALSE	3	FALSE
578	FALSE	13.5	FALSE
579	TRUE	4	FALSE
580	FALSE	0.5	FALSE
581	FALSE	4	FALSE
582	FALSE	9	FALSE
583	FALSE	1.5	FALSE
584	FALSE	5.5	FALSE
585	FALSE	2	FALSE
586	TRUE	2	FALSE
587	FALSE	1	FALSE
588	FALSE	3	FALSE
589	FALSE	0.5	FALSE
590	FALSE	6	FALSE
591	FALSE	1.5	FALSE
592	FALSE	2	FALSE
593	FALSE	2.5	FALSE
594	TRUE	3.5	FALSE
595	FALSE	2.5	FALSE
596	TRUE	3.5	FALSE
597	FALSE	2.5	FALSE
598	TRUE	9	FALSE
599	FALSE	2.5	FALSE
600	FALSE	1.5	FALSE
601	FALSE	4	FALSE
602	FALSE	2.5	FALSE
603	FALSE	1.5	FALSE
604	TRUE	4.5	FALSE
605	FALSE	2	FALSE
606	FALSE	0.5	TRUE
607	TRUE	2	FALSE
608	FALSE	1.5	FALSE
609	FALSE	4.5	FALSE
610	FALSE	1.5	FALSE
611	FALSE	1.5	FALSE
612	FALSE	3	FALSE
613	FALSE	0.5	FALSE
614	TRUE	6.5	FALSE
615	FALSE	3	FALSE
616	TRUE	2	FALSE
617	FALSE	4.5	FALSE
618	TRUE	9.5	FALSE
619	FALSE	2	FALSE
620	FALSE	5.5	FALSE
621	FALSE	5	FALSE
622	FALSE	1	FALSE
623	FALSE	2.5	FALSE
624	FALSE	2	FALSE
625	FALSE	9.5	FALSE
626	FALSE	1	FALSE
627	FALSE	7	FALSE
628	TRUE	6.5	FALSE
629	TRUE	0.5	FALSE
630	FALSE	2	FALSE
631	FALSE	4	FALSE
632	FALSE	0.5	FALSE
633	FALSE	5.5	FALSE
634	FALSE	6	FALSE
635	FALSE	5	FALSE
636	FALSE	5.5	FALSE
637	FALSE	3.5	FALSE
638	FALSE	2	FALSE
639	FALSE	0.5	FALSE
640	FALSE	3.5	FALSE
641	FALSE	7.5	FALSE
642	TRUE	7.5	FALSE
643	FALSE	4.5	FALSE
644	FALSE	2	FALSE
645	TRUE	2.5	FALSE
646	TRUE	2	FALSE
647	FALSE	3	FALSE
648	FALSE	2	FALSE
649	FALSE	1.5	FALSE
650	FALSE	1.5	FALSE
651	TRUE	7	TRUE
652	TRUE	7.5	FALSE
653	FALSE	5	FALSE
654	FALSE	0.5	FALSE
655	FALSE	2.5	FALSE
656	FALSE	10.5	FALSE
657	FALSE	2.5	FALSE
658	FALSE	7	FALSE
659	FALSE	1.5	FALSE
660	FALSE	8.5	FALSE
661	FALSE	1	FALSE
662	FALSE	1	FALSE
663	FALSE	3	FALSE
664	FALSE	0.5	FALSE
665	FALSE	6.5	FALSE
666	FALSE	3.5	FALSE
667	FALSE	9.5	FALSE
668	FALSE	1.5	FALSE
669	FALSE	4	FALSE
670	FALSE	1	FALSE
671	TRUE	11.5	FALSE
672	FALSE	1	FALSE
673	TRUE	6.5	FALSE
674	FALSE	5.5	FALSE
675	TRUE	6	FALSE
676	FALSE	2.5	FALSE
677	FALSE	1	FALSE
678	TRUE	14.5	FALSE
679	FALSE	0.5	FALSE
680	FALSE	0.5	FALSE
681	TRUE	1.5	FALSE
682	FALSE	0.5	FALSE
683	TRUE	1	FALSE
684	FALSE	1	FALSE
685	FALSE	1.5	FALSE
686	FALSE	2	FALSE
687	TRUE	8.5	FALSE
688	FALSE	1	FALSE
689	TRUE	5.5	FALSE
690	FALSE	1	FALSE
691	TRUE	1.5	FALSE
692	FALSE	1	FALSE
693	FALSE	4.5	FALSE
694	TRUE	3	FALSE
695	TRUE	10.5	FALSE
696	TRUE	9	FALSE
697	FALSE	8	FALSE
698	TRUE	2	FALSE
699	FALSE	4	FALSE
700	FALSE	0.5	FALSE
701	TRUE	10.5	FALSE
702	TRUE	7.5	FALSE
703	FALSE	1.5	FALSE
704	FALSE	0.5	FALSE
705	FALSE	1.5	FALSE
706	FALSE	1.5	FALSE
707	FALSE	7	FALSE
708	FALSE	1.5	FALSE
709	FALSE	0.5	FALSE
710	TRUE	11.5	FALSE
711	FALSE	7.5	FALSE
712	FALSE	1.5	FALSE
713	FALSE	6.5	FALSE
714	FALSE	3.5	FALSE
715	FALSE	1	FALSE
716	FALSE	1.5	FALSE
717	FALSE	6	FALSE
718	FALSE	4.5	FALSE
719	TRUE	2	FALSE
720	FALSE	3.5	FALSE
721	FALSE	1	FALSE
722	TRUE	1.5	FALSE
723	TRUE	4	FALSE
724	TRUE	2	FALSE
725	FALSE	1	FALSE
726	FALSE	1	FALSE
727	FALSE	1	FALSE
728	TRUE	6.5	FALSE
729	FALSE	5.5	FALSE
730	FALSE	18.5	FALSE
731	FALSE	6	TRUE
732	FALSE	5	FALSE
733	FALSE	6.5	FALSE
734	FALSE	6.5	FALSE
735	FALSE	3	FALSE
736	TRUE	2	FALSE
737	FALSE	1	FALSE
738	FALSE	2	FALSE
739	TRUE	9.5	FALSE
740	FALSE	4	FALSE
741	FALSE	7.5	FALSE
742	TRUE	3.5	FALSE
743	TRUE	4.5	FALSE
744	TRUE	5	FALSE
745	FALSE	0.5	FALSE
746	FALSE	15.5	FALSE
747	FALSE	2.5	FALSE
748	FALSE	6	FALSE
749	FALSE	3	FALSE
750	FALSE	7.5	FALSE
751	FALSE	1.5	FALSE
752	FALSE	0.5	FALSE
753	TRUE	13	FALSE
754	FALSE	1	FALSE
755	FALSE	1.5	FALSE
756	TRUE	3	FALSE
757	FALSE	0.5	FALSE
758	FALSE	0.5	FALSE
759	FALSE	5	FALSE
760	FALSE	1	FALSE
761	FALSE	1	FALSE
762	FALSE	2	FALSE
763	TRUE	1	FALSE
764	FALSE	2	FALSE
765	FALSE	1.5	FALSE
766	TRUE	10	FALSE
767	FALSE	0.5	FALSE
768	FALSE	0.5	FALSE
769	FALSE	2	FALSE
770	FALSE	1.5	FALSE
771	FALSE	1.5	FALSE
772	FALSE	4	FALSE
773	FALSE	0.5	FALSE
774	FALSE	0.5	FALSE
775	FALSE	3	FALSE
776	FALSE	6.5	FALSE
777	TRUE	4.5	FALSE
778	FALSE	0.5	FALSE
779	TRUE	0.5	FALSE
780	FALSE	1.5	FALSE
781	TRUE	3	FALSE
782	FALSE	2.5	FALSE
783	TRUE	3	FALSE
784	FALSE	1	FALSE
785	FALSE	4.5	FALSE
786	FALSE	1	FALSE
787	FALSE	1.5	FALSE
788	TRUE	4	FALSE
789	FALSE	3.5	FALSE
790	FALSE	19	FALSE
791	FALSE	0.5	FALSE
792	FALSE	1	FALSE
793	FALSE	2.5	FALSE
794	FALSE	5.5	FALSE
795	FALSE	6	FALSE
796	FALSE	1.5	FALSE
797	FALSE	1	FALSE
798	FALSE	1.5	FALSE
799	FALSE	1	FALSE
800	FALSE	1	FALSE
801	FALSE	0.5	FALSE
802	FALSE	3.5	FALSE
803	FALSE	1.5	FALSE
804	FALSE	3.5	FALSE
805	TRUE	6	FALSE
806	FALSE	4	FALSE
807	FALSE	0.5	FALSE
808	FALSE	1	FALSE
809	FALSE	1.5	FALSE
810	FALSE	4	FALSE
811	FALSE	2	FALSE
812	FALSE	2.5	FALSE
813	FALSE	1	FALSE
814	FALSE	2	FALSE
815	FALSE	1.5	FALSE
816	FALSE	7	FALSE
817	FALSE	3.5	FALSE
818	FALSE	0.5	FALSE
819	FALSE	0.5	FALSE
820	FALSE	7.5	FALSE
821	FALSE	1.5	FALSE
822	FALSE	1	FALSE
823	FALSE	0.5	FALSE
824	FALSE	2.5	FALSE
825	FALSE	1.5	FALSE
826	FALSE	1.5	FALSE
827	FALSE	1	FALSE
828	TRUE	4.5	FALSE
829	FALSE	8.5	FALSE
830	TRUE	1	FALSE
831	FALSE	0.5	FALSE
832	FALSE	5.5	FALSE
833	FALSE	3	FALSE
834	FALSE	0.5	FALSE
835	FALSE	1	FALSE
836	FALSE	0.5	FALSE
837	FALSE	5	FALSE
838	TRUE	6	FALSE
839	FALSE	7.5	FALSE
840	TRUE	4.5	FALSE
841	FALSE	5.5	FALSE
842	FALSE	5	FALSE
843	TRUE	2.5	FALSE
844	FALSE	8	FALSE
845	TRUE	5	FALSE
846	FALSE	1.5	FALSE
847	FALSE	4	FALSE
848	TRUE	7	FALSE
849	FALSE	6.5	FALSE
850	FALSE	1.5	FALSE
851	FALSE	0.5	FALSE
852	FALSE	5	FALSE
853	FALSE	7	FALSE
854	FALSE	2	FALSE
855	FALSE	1.5	FALSE
856	FALSE	1.5	FALSE
857	FALSE	0.5	FALSE
858	FALSE	2	FALSE
859	FALSE	2.5	FALSE
860	FALSE	12	FALSE
861	FALSE	1	FALSE
862	TRUE	1.5	FALSE
863	FALSE	0.5	FALSE
864	FALSE	7.5	FALSE
865	FALSE	5	FALSE
866	FALSE	3	FALSE
867	FALSE	1.5	FALSE
868	FALSE	1	FALSE
869	FALSE	2.5	FALSE
870	FALSE	1	FALSE
871	FALSE	5	FALSE
872	TRUE	4.5	FALSE
873	FALSE	1	FALSE
874	FALSE	4.5	FALSE
875	TRUE	25.5	FALSE
876	FALSE	1.5	FALSE
877	FALSE	0.5	FALSE
878	FALSE	1.5	FALSE
879	FALSE	1	FALSE
880	FALSE	2	FALSE
881	FALSE	9	FALSE
882	FALSE	2.5	FALSE
883	TRUE	4.5	FALSE
884	FALSE	3	FALSE
885	FALSE	3	FALSE
886	FALSE	0.5	FALSE
887	TRUE	9	FALSE
888	FALSE	1.5	FALSE
889	FALSE	1	FALSE
890	FALSE	4.5	FALSE
891	FALSE	1	FALSE
892	TRUE	3	FALSE
893	TRUE	3.5	FALSE
894	TRUE	1.5	FALSE
895	FALSE	2.5	FALSE
896	FALSE	6	FALSE
897	FALSE	3	FALSE
898	FALSE	10	FALSE
899	FALSE	0.5	FALSE
900	TRUE	1	FALSE
901	TRUE	5	FALSE
902	FALSE	4.5	FALSE
903	FALSE	5	FALSE
904	FALSE	2	FALSE
905	FALSE	4	FALSE
906	FALSE	1.5	FALSE
907	FALSE	4.5	FALSE
908	FALSE	0.5	FALSE
909	TRUE	0.5	FALSE
910	FALSE	1	FALSE
911	FALSE	4	FALSE
912	FALSE	3	FALSE
913	FALSE	2.5	FALSE
914	FALSE	9	FALSE
915	FALSE	3.5	FALSE
916	FALSE	2	FALSE
917	FALSE	0.5	FALSE
918	FALSE	7.5	FALSE
919	FALSE	3	FALSE
920	TRUE	2	FALSE
921	FALSE	3.5	FALSE
922	FALSE	2.5	FALSE
923	TRUE	11.5	FALSE
